,Dar es Salaam,Singapore
built_pct_2020,57.62,55.75
built_pct_2025,61.15,53.81
built_delta_pp,3.530000000000001,-1.9399999999999977
trees_delta_pp,-2.4700000000000024,2.5799999999999983
day_trend_C_per_decade,-1.3531096348748803,-0.7574471391204654
night_trend_C_per_decade,0.6709660863111672,0.6075359323330168
NDVI_r,-0.440237052701952,-0.614779494482127
NDBI_r,0.308994491780904,0.680086041517566
warmest_LCZ,Lightweight,Heavy industry
warmest_LCZ_degC,39.1250041564602,43.98159315454869
coolest_LCZ,Water,Water
coolest_LCZ_degC,29.73413107850002,31.954770820220016
intra_city_range_degC,9.39087307796018,12.026822334328674
compact_built_avg_degC,38.20535611902502,42.428529992550985
dense_trees_degC,30.39699032634617,33.93911429429002
cooling_benefit_degC,7.808365792678849,8.489415698260963
