lcz,label,mean,std,count,ci95,city,season
2,Compact MR,36.34711679000002,0.593585861795853,6,0.4749676101104847,Dar es Salaam,dry
3,Compact LR,37.79577392792002,2.3257434386418763,1500,0.11769885724403914,Dar es Salaam,dry
6,Open LR,35.57434918094002,2.196252684385773,1500,0.11114572092367525,Dar es Salaam,dry
7,Lightweight,39.21234701157897,1.080017025556822,114,0.1982596099910239,Dar es Salaam,dry
8,Large LR,37.51028950412002,2.2846975539233956,1500,0.1156216488788908,Dar es Salaam,dry
9,Sparsely built,33.70762262342002,2.8703097743474872,1500,0.1452577162055214,Dar es Salaam,dry
10,Heavy industry,36.59862609500002,0.9478710985799895,40,0.2937482967763585,Dar es Salaam,dry
11,Dense trees,29.426536709491938,2.1297367145873634,1299,0.11581836069507659,Dar es Salaam,dry
12,Scattered trees,31.51267044134002,2.89293355549899,1500,0.1464026374998607,Dar es Salaam,dry
13,Bush/scrub,32.83587257318002,3.035201977443051,1500,0.15360241302390004,Dar es Salaam,dry
14,Low plants,32.09831170946002,3.0280550689922525,1500,0.15324072955378434,Dar es Salaam,dry
16,Bare soil,32.63805315682434,3.2617487152895364,148,0.5255036219253869,Dar es Salaam,dry
17,Water,28.934853770764352,1.5448047229075912,157,0.24164612412957281,Dar es Salaam,dry
2,Compact MR,39.37605218000002,2.777373490366277,6,2.2223616396665022,Dar es Salaam,wet
3,Compact LR,38.43729754436002,4.647581161112514,1500,0.23520005797857835,Dar es Salaam,wet
6,Open LR,35.00534569484002,5.3441516052224864,1500,0.2704513861773552,Dar es Salaam,wet
7,Lightweight,37.85489212283188,3.143845638997105,113,0.579666315117943,Dar es Salaam,wet
8,Large LR,39.10677372836002,3.886323506426265,1500,0.19667510525328094,Dar es Salaam,wet
9,Sparsely built,32.76845554670002,4.621517198890584,1500,0.23388103950138792,Dar es Salaam,wet
10,Heavy industry,39.52872374000002,4.923158408906057,40,1.5257025976874654,Dar es Salaam,wet
11,Dense trees,30.146695630854524,3.402362680026763,1299,0.1850257195604366,Dar es Salaam,wet
12,Scattered trees,29.54824206080002,4.42368284354812,1500,0.22386923976434708,Dar es Salaam,wet
13,Bush/scrub,29.274520183160018,5.0969985307368875,1500,0.2579437148891185,Dar es Salaam,wet
14,Low plants,30.28671325718002,4.4243985067042235,1500,0.2239054573170855,Dar es Salaam,wet
16,Bare soil,31.671459117800016,5.8290066145814325,150,0.9328353383181244,Dar es Salaam,wet
17,Water,29.63404412857145,3.8012654705470457,161,0.5871801073462377,Dar es Salaam,wet
1,Compact HR,33.71613015028009,7.382597489799826,607,0.587314761525629,Singapore,dry
2,Compact MR,39.98178736136127,5.411731317238647,573,0.4431135054484361,Singapore,dry
3,Compact LR,40.59255284216002,5.528129774537063,1500,0.279761966152084,Singapore,dry
4,Open HR,33.00875260676002,7.285587922878418,1500,0.3687016197171365,Singapore,dry
5,Open MR,34.275010277717406,6.087017386260329,1104,0.3590674825885008,Singapore,dry
6,Open LR,32.07596355536002,6.661395305329759,1500,0.33711311491260665,Singapore,dry
8,Large LR,34.343831218760016,7.372940185149378,1500,0.3731222541156484,Singapore,dry
9,Sparsely built,32.772467522631594,5.390116867303992,646,0.4156597709189563,Singapore,dry
10,Heavy industry,35.32999379180002,8.183138283769983,1500,0.41412393502531225,Singapore,dry
11,Dense trees,28.61439798056002,4.556257307376273,1500,0.23057843332072092,Singapore,dry
12,Scattered trees,31.34641680920002,5.282668096358916,1500,0.26733989132699376,Singapore,dry
14,Low plants,33.74903253128411,6.307462445355382,880,0.41674405068876497,Singapore,dry
15,Bare paved,43.49979604926831,4.86009700209497,41,1.4876784786429877,Singapore,dry
16,Bare soil,35.1027822269231,6.178521968171436,26,2.3749473845577302,Singapore,dry
17,Water,28.64552816738002,4.30588198720928,1500,0.21790769390202824,Singapore,dry
1,Compact HR,31.47078671237626,9.035457241038445,606,0.7193991068251308,Singapore,wet
2,Compact MR,35.03438534785342,8.626711111013421,573,0.7063566124791705,Singapore,wet
3,Compact LR,38.91131083664002,6.946062414834462,1500,0.3515192583104496,Singapore,wet
4,Open HR,37.70578657604002,5.672015437661514,1500,0.2870435853720604,Singapore,wet
5,Open MR,38.098378347010886,4.083993004053092,1104,0.24091094107672992,Singapore,wet
6,Open LR,37.33285097120002,4.601656663794444,1500,0.23287595775151276,Singapore,wet
8,Large LR,40.20397409912002,5.4088284452356765,1500,0.2737244858809722,Singapore,wet
9,Sparsely built,35.70391703157897,4.755314103180969,646,0.36670684874491943,Singapore,wet
10,Heavy industry,41.09876160416002,6.160560415241924,1500,0.31176737244941183,Singapore,wet
11,Dense trees,32.48762304812002,3.4649080247929507,1500,0.1753485393952035,Singapore,wet
12,Scattered trees,34.25519284544002,4.674470194104297,1500,0.23656083079768958,Singapore,wet
14,Low plants,35.448744613530096,6.775631305391842,881,0.44742256484473636,Singapore,wet
15,Bare paved,43.4922930785366,3.004170275204756,41,0.9195782435360053,Singapore,wet
16,Bare soil,37.253242656153866,2.318829620552249,26,0.8913294103242319,Singapore,wet
17,Water,30.69666829730002,3.4189973977232495,1500,0.17302514109955291,Singapore,wet
