city,year,class,pixels,area_km2,pct
Dar es Salaam,2020,water,161334,16.1334,0.9847305544189153
Dar es Salaam,2020,trees,3531499,353.1499,21.55512767426485
Dar es Salaam,2020,grass,272769,27.2769,1.6648937520813538
Dar es Salaam,2020,flooded_vegetation,105717,10.5717,0.6452623750821554
Dar es Salaam,2020,crops,178986,17.898600000000002,1.0924726530875326
Dar es Salaam,2020,shrub_and_scrub,2513863,251.3863,15.343806672636877
Dar es Salaam,2020,built,9458753,945.8753,57.733168989807346
Dar es Salaam,2020,bare,89813,8.981300000000001,0.5481895030435373
Dar es Salaam,2020,snow_and_ice,1306,0.1306,0.007971401589690353
Dar es Salaam,2025,water,146468,14.6468,0.8939932986514293
Dar es Salaam,2025,trees,3027554,302.7554,18.479210389336437
Dar es Salaam,2025,grass,158331,15.8331,0.966401213703877
Dar es Salaam,2025,flooded_vegetation,93121,9.312100000000001,0.5683804651099199
Dar es Salaam,2025,crops,72031,7.2031,0.43965392642188805
Dar es Salaam,2025,shrub_and_scrub,2675476,267.5476,16.33024015281653
Dar es Salaam,2025,built,10079519,1007.9519,61.52212387435997
Dar es Salaam,2025,bare,129897,12.989700000000001,0.792849274346101
Dar es Salaam,2025,snow_and_ice,1171,0.11710000000000001,0.0071474052538494665
Singapore,2020,water,540734,54.0734,9.039608280409173
Singapore,2020,trees,1637390,163.739,27.372727075159276
Singapore,2020,grass,260531,26.0531,4.35537285412658
Singapore,2020,flooded_vegetation,5401,0.5401,0.09029009517154449
Singapore,2020,crops,25795,2.5795,0.4312225522958693
Singapore,2020,shrub_and_scrub,26792,2.6792000000000002,0.4478896926191483
Singapore,2020,built,3264174,326.41740000000004,54.56815054924664
Singapore,2020,bare,99234,9.9234,1.6589237741627563
Singapore,2020,snow_and_ice,954,0.0954,0.015948296758684217
Singapore,2025,water,608930,60.893,10.179660739272096
Singapore,2025,trees,1791792,179.1792,29.953910425404935
Singapore,2025,grass,202173,20.2173,3.3797851159260626
Singapore,2025,flooded_vegetation,1920,0.192,0.03209720102376697
Singapore,2025,crops,12195,1.2195,0.20386737837751992
Singapore,2025,shrub_and_scrub,36652,3.6652,0.6127221937099516
Singapore,2025,built,3211712,321.1712,53.6911279658566
Singapore,2025,bare,91034,9.1034,1.5218419781237513
Singapore,2025,snow_and_ice,4581,0.4581,0.07658191556764402
